nohup: ignoring input
============================================================
AGIFORMER PHASE 8: Scaling & Emergence (100M)
============================================================

🚀 Initializing Scaled Model...
   Architecture: 12 layers × 768 dim
   Parameters: 159.2M
   Device: cuda

📚 Loading Turkish Wikipedia Data...

⚙️  Training Configuration:
   Batch Size: 2 (effective: 8)
   Max Steps: 50,000
   Target Duration: ~5-7 days on T4

▶️  Starting Training...

Step     0/50000: Loss=5.5535 | BPC=8.0120 | LR=4.00e-07 | ETA=351.0h
Step    10/50000: Loss=5.5240 | BPC=7.9695 | LR=4.40e-06 | ETA=42.5h
Step    20/50000: Loss=5.4448 | BPC=7.8551 | LR=8.40e-06 | ETA=27.8h
Step    30/50000: Loss=5.3278 | BPC=7.6864 | LR=1.24e-05 | ETA=22.6h
Step    40/50000: Loss=5.1737 | BPC=7.4641 | LR=1.64e-05 | ETA=20.0h
Step    50/50000: Loss=4.8692 | BPC=7.0247 | LR=2.04e-05 | ETA=18.4h
Step    60/50000: Loss=4.4880 | BPC=6.4748 | LR=2.44e-05 | ETA=17.4h
Step    70/50000: Loss=3.9916 | BPC=5.7587 | LR=2.84e-05 | ETA=16.6h
Step    80/50000: Loss=3.7674 | BPC=5.4352 | LR=3.24e-05 | ETA=16.0h
Step    90/50000: Loss=3.4810 | BPC=5.0221 | LR=3.64e-05 | ETA=15.5h
Step   100/50000: Loss=3.5082 | BPC=5.0612 | LR=4.04e-05 | ETA=15.2h
Step   110/50000: Loss=3.1713 | BPC=4.5752 | LR=4.44e-05 | ETA=14.9h
Step   120/50000: Loss=3.1358 | BPC=4.5241 | LR=4.84e-05 | ETA=14.6h
Step   130/50000: Loss=2.6382 | BPC=3.8061 | LR=5.24e-05 | ETA=14.5h
Step   140/50000: Loss=2.4642 | BPC=3.5551 | LR=5.64e-05 | ETA=14.3h
Step   150/50000: Loss=2.6070 | BPC=3.7611 | LR=6.04e-05 | ETA=14.1h
Step   160/50000: Loss=2.4492 | BPC=3.5334 | LR=6.44e-05 | ETA=14.0h
Step   170/50000: Loss=2.4062 | BPC=3.4714 | LR=6.84e-05 | ETA=13.8h
Step   180/50000: Loss=2.3152 | BPC=3.3401 | LR=7.24e-05 | ETA=13.7h
Step   190/50000: Loss=2.0894 | BPC=3.0143 | LR=7.64e-05 | ETA=13.6h
Step   200/50000: Loss=2.3079 | BPC=3.3295 | LR=8.04e-05 | ETA=13.6h
Step   210/50000: Loss=2.0582 | BPC=2.9693 | LR=8.44e-05 | ETA=13.5h
Step   220/50000: Loss=2.4115 | BPC=3.4790 | LR=8.84e-05 | ETA=13.4h
Step   230/50000: Loss=2.0052 | BPC=2.8929 | LR=9.24e-05 | ETA=13.4h
Step   240/50000: Loss=2.2286 | BPC=3.2152 | LR=9.64e-05 | ETA=13.3h
Step   250/50000: Loss=2.0451 | BPC=2.9504 | LR=1.00e-04 | ETA=13.2h
Step   260/50000: Loss=2.4158 | BPC=3.4852 | LR=1.04e-04 | ETA=13.2h
Step   270/50000: Loss=1.9112 | BPC=2.7572 | LR=1.08e-04 | ETA=13.1h
Step   280/50000: Loss=2.2156 | BPC=3.1965 | LR=1.12e-04 | ETA=13.1h
Step   290/50000: Loss=2.0459 | BPC=2.9516 | LR=1.16e-04 | ETA=13.1h
Step   300/50000: Loss=2.0640 | BPC=2.9777 | LR=1.20e-04 | ETA=13.0h
Step   310/50000: Loss=1.9346 | BPC=2.7911 | LR=1.24e-04 | ETA=13.0h
Step   320/50000: Loss=2.1611 | BPC=3.1178 | LR=1.28e-04 | ETA=13.0h
Step   330/50000: Loss=2.0292 | BPC=2.9275 | LR=1.32e-04 | ETA=12.9h
Step   340/50000: Loss=1.9390 | BPC=2.7973 | LR=1.36e-04 | ETA=12.9h
Step   350/50000: Loss=1.9197 | BPC=2.7695 | LR=1.40e-04 | ETA=12.9h
Step   360/50000: Loss=1.9583 | BPC=2.8252 | LR=1.44e-04 | ETA=12.9h
Step   370/50000: Loss=2.0786 | BPC=2.9987 | LR=1.48e-04 | ETA=12.9h
